spB_x, spB_y, spB_z, spM_x, spM_y, spM_z, spT_x, spT_y, spT_z, weight, z_vertex

Event: 0
33.0725,-60.8219,-30.4007,53.1542,-101.046,-67.5594,76.5163,-151.509,-113.509,-0.106415,26.8065
32.3752,-59.4608,-29.1356,53.1542,-101.046,-67.5594,76.5163,-151.509,-113.509,-0.126569,26.8095
19.6853,25.1723,-33.77,41.7111,54.7552,-103.003,68.2218,92.209,-189.141,399.882,26.2063
18.377,28.0422,61.9988,36.6713,57.3092,98.7372,60.7693,98.1785,149.206,399.998,26.3153
18.377,28.0422,61.9988,36.6713,57.3092,98.7372,59.8579,96.6076,147.286,399.99,26.3153
17.6007,26.8083,60.4516,36.6713,57.3092,98.7372,59.8579,96.6076,147.286,399.977,26.3238
17.6007,26.8083,60.4516,36.6713,57.3092,98.7372,60.7693,98.1785,149.206,399.969,26.3238
41.7111,54.7552,-103.003,68.2218,92.209,-189.141,99.0599,138.808,-294.293,-0.0209779,26.1763
-24.248,-21.5915,-137.843,-113.69,-94.9729,-722.6,-132.535,-109.285,-842.6,-0.0161022,26.1583
-51.9211,-45.3073,-321.587,-113.69,-94.9729,-722.6,-132.535,-109.285,-842.6,-0.0275661,26.9111
-24.248,-21.5915,-137.843,-98.1061,-82.8756,-622.6,-132.535,-109.285,-842.6,-0.0130825,26.0771
-51.9211,-45.3073,-321.587,-98.1061,-82.8756,-622.6,-132.535,-109.285,-842.6,-0.0705435,26.7291
-24.248,-21.5915,-137.843,-51.9211,-45.3073,-321.587,-113.69,-94.9729,-722.6,599.99,25.8333
-24.248,-21.5915,-137.843,-51.9211,-45.3073,-321.587,-98.1061,-82.8756,-622.6,599.982,25.8333
-24.248,-21.5915,-137.843,-51.9211,-45.3073,-321.587,-132.535,-109.285,-842.6,399.989,25.8333
33.0725,-60.8219,-30.4007,53.1542,-101.046,-67.5594,76.5163,-151.509,-113.509,-0.106415,26.8065
32.3752,-59.4608,-29.1356,53.1542,-101.046,-67.5594,76.5163,-151.509,-113.509,-0.126569,26.8095
19.6853,25.1723,-33.77,41.7111,54.7552,-103.003,68.2218,92.209,-189.141,399.882,26.2063
18.377,28.0422,61.9988,36.6713,57.3092,98.7372,60.7693,98.1785,149.206,399.998,26.3153
18.377,28.0422,61.9988,36.6713,57.3092,98.7372,59.8579,96.6076,147.286,399.99,26.3153
17.6007,26.8083,60.4516,36.6713,57.3092,98.7372,59.8579,96.6076,147.286,399.977,26.3238
17.6007,26.8083,60.4516,36.6713,57.3092,98.7372,60.7693,98.1785,149.206,399.969,26.3238
41.7111,54.7552,-103.003,68.2218,92.209,-189.141,99.0599,138.808,-294.293,-0.0209779,26.1763
18.377,28.0422,61.9988,59.8579,96.6076,147.286,87.2867,146.45,207.787,-0.0682563,26.333
36.6713,57.3092,98.7372,59.8579,96.6076,147.286,87.2867,146.45,207.787,-0.202095,26.3642
-24.248,-21.5915,-137.843,-113.69,-94.9729,-722.6,-132.535,-109.285,-842.6,-0.0161022,26.1583
-51.9211,-45.3073,-321.587,-113.69,-94.9729,-722.6,-132.535,-109.285,-842.6,-0.0275661,26.9111
-24.248,-21.5915,-137.843,-98.1061,-82.8756,-622.6,-132.535,-109.285,-842.6,-0.0130825,26.0771
-51.9211,-45.3073,-321.587,-98.1061,-82.8756,-622.6,-132.535,-109.285,-842.6,-0.0705435,26.7291
-24.248,-21.5915,-137.843,-51.9211,-45.3073,-321.587,-113.69,-94.9729,-722.6,599.99,25.8333
-24.248,-21.5915,-137.843,-51.9211,-45.3073,-321.587,-98.1061,-82.8756,-622.6,599.982,25.8333
-24.248,-21.5915,-137.843,-51.9211,-45.3073,-321.587,-132.535,-109.285,-842.6,399.989,25.8333
33.0725,-60.8219,-30.4007,53.1542,-101.046,-67.5594,76.5163,-151.509,-113.509,-0.106415,26.8065
32.3752,-59.4608,-29.1356,53.1542,-101.046,-67.5594,76.5163,-151.509,-113.509,-0.126569,26.8095
19.6853,25.1723,-33.77,41.7111,54.7552,-103.003,68.2218,92.209,-189.141,399.882,26.2063
18.377,28.0422,61.9988,36.6713,57.3092,98.7372,60.7693,98.1785,149.206,399.998,26.3153
18.377,28.0422,61.9988,36.6713,57.3092,98.7372,59.8579,96.6076,147.286,399.99,26.3153
17.6007,26.8083,60.4516,36.6713,57.3092,98.7372,59.8579,96.6076,147.286,399.977,26.3238
17.6007,26.8083,60.4516,36.6713,57.3092,98.7372,60.7693,98.1785,149.206,399.969,26.3238
41.7111,54.7552,-103.003,68.2218,92.209,-189.141,99.0599,138.808,-294.293,-0.0209779,26.1763
18.377,28.0422,61.9988,59.8579,96.6076,147.286,87.2867,146.45,207.787,-0.0682563,26.333
36.6713,57.3092,98.7372,59.8579,96.6076,147.286,87.2867,146.45,207.787,-0.202095,26.3642
18.377,28.0422,61.9988,60.7693,98.1785,149.206,87.2867,146.45,207.787,-0.0540368,26.3384
36.6713,57.3092,98.7372,60.7693,98.1785,149.206,87.2867,146.45,207.787,-0.149221,26.3822

Event: 1
-28.0634,-18.5973,-48.2836,-57.3413,-37.1297,-82.4064,-97.2967,-61.1088,-128.323,399.969,-15.1337
-26.6917,-17.7272,-46.6721,-57.3413,-37.1297,-82.4064,-97.2967,-61.1088,-128.323,399.928,-15.1114
